"Name" "Mac Adresse" "Entfernung" "Zeit in ms" "RSSI" "Nordic chip" "Wasserdicht" "On/Off Button"
"44" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "6878" "-39" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"45" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "7022" "-39" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"46" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "7676" "-39" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"47" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "11322" "-39" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"48" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "11492" "-39" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"49" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "11494" "-39" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"50" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "11666" "-39" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"51" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "13622" "-39" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"52" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "14572" "-39" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"53" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "14870" "-39" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"54" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "14872" "-39" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"55" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "16024" "-39" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"56" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "24642" "-39" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"57" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "27152" "-39" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"58" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "28766" "-39" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"59" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "35304" "-39" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"60" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "38196" "-39" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"61" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "39128" "-39" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"62" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "41644" "-39" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"63" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "49162" "-39" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"64" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "49164" "-39" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"65" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "57148" "-39" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"66" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "59556" "-39" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"67" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "63650" "-39" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"68" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "63866" "-39" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"69" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "64770" "-39" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"70" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "66" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"71" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "218" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"72" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "436" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"73" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "502" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"74" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "504" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"75" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "672" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"76" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "824" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"77" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "1338" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"78" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "1516" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"79" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "1598" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"80" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "1778" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"81" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "1938" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"82" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "2128" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"83" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "2626" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"84" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "2814" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"85" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "2986" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"86" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "3162" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"87" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "3470" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"88" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "3616" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"89" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "3768" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"90" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "3912" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"91" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "4060" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"92" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "4224" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"93" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "4226" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"94" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "4296" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"95" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "4298" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"96" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "4428" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"97" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "4430" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"98" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "4570" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"99" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "4706" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"100" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "4708" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"101" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "4854" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"102" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "5204" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"103" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "5338" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
