1;36:0E:A1:64:6B:E9
2;-92
3;C8:50:FD:6A:14:EA
4;-49
5;FF:DB:93:54:27:DF
6;-34
7;FF:DB:93:54:27:DF
8;-34
9;68:08:6D:A6:8A:C7
10;-54
11;FF:DB:93:54:27:DF
12;-32
13;FF:DB:93:54:27:DF
14;-32
15;FF:DB:93:54:27:DF
16;-31
17;FF:DB:93:54:27:DF
18;-30
19;36:0E:A1:64:6B:E9
20;-80
21;FF:DB:93:54:27:DF
22;-32
23;FF:DB:93:54:27:DF
24;-30
25;FF:DB:93:54:27:DF
26;-34
27;FF:DB:93:54:27:DF
28;-34
29;EC:94:19:54:21:2F
30;-72
31;36:0E:A1:64:6B:E9
32;-91
33;C8:50:FD:6A:14:EA
34;-72
35;FF:DB:93:54:27:DF
36;-25
37;FF:DB:93:54:27:DF
38;-32
39;FF:DB:93:54:27:DF
40;-30
41;68:08:6D:A6:8A:C7
42;-56
43;C2:DE:96:57:2A:E2
44;-41
45;FF:DB:93:54:27:DF
46;-35
47;FF:DB:93:54:27:DF
48;-34
49;FF:DB:93:54:27:DF
50;-35
51;FF:DB:93:54:27:DF
52;-33
53;36:0E:A1:64:6B:E9
54;-86
55;C8:50:FD:6A:14:EA
56;-58
57;FF:DB:93:54:27:DF
58;-32
59;FF:DB:93:54:27:DF
60;-31
61;FF:DB:93:54:27:DF
62;-32
63;FF:DB:93:54:27:DF
64;-30
65;EC:A5:DE:FB:86:3E
66;-41
67;FF:DB:93:54:27:DF
68;-25
69;C2:DE:96:57:2A:E2
70;-40
71;68:08:6D:A6:8A:C7
72;-45
73;FF:DB:93:54:27:DF
74;-34
75;FF:DB:93:54:27:DF
76;-34
77;C8:50:FD:6A:14:EA
78;-71
79;FF:DB:93:54:27:DF
80;-32
81;FF:DB:93:54:27:DF
82;-31
83;36:0E:A1:64:6B:E9
84;-76
85;FF:DB:93:54:27:DF
86;-32
87;FF:DB:93:54:27:DF
88;-31
89;C2:DE:96:57:2A:E2
