4 -67
6 -68
38 -73
40 -73
60 -72
75 -73
77 -73
114 -67
116 -67
124 -77
155 -56
190 -73
226 -58
229 -58
269 -53
304 -71
306 -71
314 -71
325 -73
334 -56
349 -57
384 -52
399 -67
414 -73
459 -81
462 -73
464 -73
492 -73
500 -56
511 -56
547 -52
549 -67
581 -70
590 -71
592 -71
597 -71
634 -52
650 -59
674 -52
676 -67
690 -55
752 -67
762 -52
781 -67
783 -67
813 -81
829 -67
831 -67
845 -71
860 -55
868 -73
870 -73
924 -67
934 -58
936 -56
972 -72
974 -73
980 -72
1010 -67
1016 -52
1021 -71
1032 -72
1084 -70
1086 -71
1088 -70
1103 -56
1133 -71
1135 -72
1153 -79
1172 -68
1174 -67
1194 -71
1199 -71
1212 -54
1244 -71
1246 -71
1274 -71
1284 -67
1286 -67
1319 -71
1321 -71
1324 -66
1353 -73
1367 -67
1369 -67
1371 -67
1376 -67
