C1:1D:BF:98:5A:3F
C8:50:FD:6A:14:EA
AC:23:3F:24:98:CB
F5:21:9F:4D:65:99
C2:DE:96:57:2A:E2
12:F8:5F:BC:50:32
FF:DB:93:54:27:DF
AC:23:3F:24:B3:18
AC:23:3F:24:CC:F1
AC:23:3F:24:99:46
AC:23:3F:24:C8:AD
AC:23:3F:24:99:57
C8:2E:E5:77:F2:AB
EC:81:BC:0D:F1:DA
C5:4D:FA:67:11:E7
AC:23:3F:24:CC:EF
FE:1A:BC:95:57:3C
EC:A5:DE:FB:86:3E
EC:94:19:54:21:2F
C9:51:FE:6B:15:EB
AC:23:3F:24:AF:81
C2:1E:C0:99:5B:40

