3  -72
29  -88
35  -72
37  -72
64  -87
78  -74
80  -75
129  -75
131  -75
135  -88
170  -74
181  -86
183  -86
191  -83
220  -75
236  -72
252  -75
285  -75
287  -75
336  -89
338  -89
360  -74
390  -72
404  -80
426  -74
428  -74
437  -72
464  -72
473  -90
475  -89
492  -88
526  -73
565  -88
568  -72
605  -72
622  -97
627  -90
629  -90
668  -90
670  -89
678  -89
704  -90
716  -72
718  -73
804  -89
806  -89
825  -83
850  -72
856  -72
858  -73
886  -74
905  -72
915  -74
950  -90
992  -73
994  -73
1016  -73
1044  -73
1046  -73
1060  -85
1091  -75
1126  -89
1145  -89
1147  -90
1193  -72
1195  -73
1230  -75
1238  -75
1240  -75
1248  -83
1286  -75
1315  -73
1341  -72
1386  -75
1388  -75
1438  -75
1440  -76
1446  -73
1462  -80
1481  -89
1483  -89
1488  -72
1530  -75
1532  -75
1552  -75
1622  -88
1624  -89
1653  -73
1667  -73
1669  -73
1671  -98
1699  -76
1719  -75
1721  -75
1732  -76
1770  -72
1778  -90
1780  -91
1829  -90
1831  -89
1857  -74
1876  -75
1878  -76
1882  -90
1901  -80
1927  -91
1931  -90
1933  -90
1963  -72
1982  -58
1988  -76
2028  -75
2030  -75
2065  -91
2073  -76
2075  -75
2101  -73
2122  -80
2127  -90
2129  -90
2144  -75
2165  -73
2167  -72
2176  -89
2218  -74
2220  -74
2262  -85
2264  -86
2300  -75
2312  -91
2314  -90
2319  -84
2345  -73
2357  -75
2359  -76
2448  -90
2450  -89
2499  -73
2501  -73
2513  -90
2525  -80
2545  -75
2547  -75
2551  -90
2582  -76
2588  -90
2590  -91
2637  -73
2639  -73
2677  -73
2679  -73
2687  -75
2719  -73
2770  -75
2790  -73
2792  -73
2810  -73
2827  -73
2833  -73
