"Name" "Mac Adresse" "Entfernung" "Zeit in ms" "RSSI" "Nordic chip" "Wasserdicht" "On/Off Button"
"47" "Estimote_Lila" "EC:94:19:54:21:2F" "0 m" "21428" "-36" "nicht bekannt" "nein" "nein"
"48" "Estimote_Lila" "EC:94:19:54:21:2F" "0 m" "21526" "-36" "nicht bekannt" "nein" "nein"
"49" "Estimote_Lila" "EC:94:19:54:21:2F" "0 m" "21884" "-36" "nicht bekannt" "nein" "nein"
"50" "Estimote_Lila" "EC:94:19:54:21:2F" "0 m" "22576" "-36" "nicht bekannt" "nein" "nein"
"51" "Estimote_Lila" "EC:94:19:54:21:2F" "0 m" "22850" "-36" "nicht bekannt" "nein" "nein"
"52" "Estimote_Lila" "EC:94:19:54:21:2F" "0 m" "23268" "-36" "nicht bekannt" "nein" "nein"
"53" "Estimote_Lila" "EC:94:19:54:21:2F" "0 m" "23544" "-36" "nicht bekannt" "nein" "nein"
"54" "Estimote_Lila" "EC:94:19:54:21:2F" "0 m" "23650" "-36" "nicht bekannt" "nein" "nein"
"55" "Estimote_Lila" "EC:94:19:54:21:2F" "0 m" "24380" "-36" "nicht bekannt" "nein" "nein"
"56" "Estimote_Lila" "EC:94:19:54:21:2F" "0 m" "24534" "-36" "nicht bekannt" "nein" "nein"
"57" "Estimote_Lila" "EC:94:19:54:21:2F" "0 m" "25500" "-36" "nicht bekannt" "nein" "nein"
"58" "Estimote_Lila" "EC:94:19:54:21:2F" "0 m" "25806" "-36" "nicht bekannt" "nein" "nein"
"59" "Estimote_Lila" "EC:94:19:54:21:2F" "0 m" "26392" "-36" "nicht bekannt" "nein" "nein"
"60" "Estimote_Lila" "EC:94:19:54:21:2F" "0 m" "28464" "-36" "nicht bekannt" "nein" "nein"
"61" "Estimote_Lila" "EC:94:19:54:21:2F" "0 m" "28830" "-36" "nicht bekannt" "nein" "nein"
"62" "Estimote_Lila" "EC:94:19:54:21:2F" "0 m" "29158" "-36" "nicht bekannt" "nein" "nein"
"63" "Estimote_Lila" "EC:94:19:54:21:2F" "0 m" "29726" "-36" "nicht bekannt" "nein" "nein"
"64" "Estimote_Lila" "EC:94:19:54:21:2F" "0 m" "30202" "-36" "nicht bekannt" "nein" "nein"
"65" "Estimote_Lila" "EC:94:19:54:21:2F" "0 m" "30364" "-36" "nicht bekannt" "nein" "nein"
"66" "Estimote_Lila" "EC:94:19:54:21:2F" "0 m" "31436" "-36" "nicht bekannt" "nein" "nein"
"67" "Estimote_Lila" "EC:94:19:54:21:2F" "0 m" "32026" "-36" "nicht bekannt" "nein" "nein"
"68" "Estimote_Lila" "EC:94:19:54:21:2F" "0 m" "32868" "-36" "nicht bekannt" "nein" "nein"
"69" "Estimote_Lila" "EC:94:19:54:21:2F" "0 m" "33120" "-36" "nicht bekannt" "nein" "nein"
"70" "Estimote_Lila" "EC:94:19:54:21:2F" "0 m" "33868" "-36" "nicht bekannt" "nein" "nein"
"71" "Estimote_Lila" "EC:94:19:54:21:2F" "0 m" "34298" "-36" "nicht bekannt" "nein" "nein"
"72" "Estimote_Lila" "EC:94:19:54:21:2F" "0 m" "34528" "-36" "nicht bekannt" "nein" "nein"
"73" "Estimote_Lila" "EC:94:19:54:21:2F" "0 m" "34828" "-36" "nicht bekannt" "nein" "nein"
"74" "Estimote_Lila" "EC:94:19:54:21:2F" "0 m" "35130" "-36" "nicht bekannt" "nein" "nein"
