 7A:96:2B:C6:CC:14 
-56
 7A:96:2B:C6:CC:14 
-56
 19:DB:25:8D:E8:61 
-74
 C2:DE:96:57:2A:E2 
-77
 EC:94:19:54:21:2F 
-76
 C8:50:FD:6A:14:EA 
-76
 35:AA:05:24:FA:21 
-85
 FF:DB:93:54:27:DF 
-89
 FF:DB:93:54:27:DF 
-90
 32:67:18:2E:75:B4 
-96
 AC:23:3F:24:B3:18 
-66
 AC:23:3F:24:B3:18 
-66
 7C:63:DA:E4:21:30 
-95
 AC:23:3F:24:AF:81 
-76
 AC:23:3F:24:AF:81 
-76
 C1:1D:BF:98:5A:3F 
-83
 C2:DE:96:57:2A:E2 
-79
 32:67:18:2E:75:B4 
-95
 C8:50:FD:6A:14:EA 
-74
 C2:1E:C0:99:5B:40 
-82
 7A:96:2B:C6:CC:14 
-56
 7A:96:2B:C6:CC:14 
-57
 32:67:18:2E:75:B4 
-95
 3D:AB:63:86:09:1D 
-64
 35:AA:05:24:FA:21 
-100
 C2:DE:96:57:2A:E2 
-80
 C1:1D:BF:98:5A:3F 
-84
 32:67:18:2E:75:B4 
-95
 C9:51:FE:6B:15:EB 
-74
 C8:50:FD:6A:14:EA 
-73
 7A:96:2B:C6:CC:14 
-58
 7A:96:2B:C6:CC:14 
-58
 32:67:18:2E:75:B4 
-95
 35:AA:05:24:FA:21 
-81
 C2:DE:96:57:2A:E2 
-76
 C1:1D:BF:98:5A:3F 
-75
 32:67:18:2E:75:B4 
-93
 19:DB:25:8D:E8:61 
-53
 EC:A5:DE:FB:86:3E 
-80
 7C:63:DA:E4:21:30 
-97
 32:67:18:2E:75:B4 
-93
 35:AA:05:24:FA:21 
-92
 7A:96:2B:C6:CC:14 
-56
 7A:96:2B:C6:CC:14 
-58
 C1:1D:BF:98:5A:3F 
-60
 C2:DE:96:57:2A:E2 
-63
 32:67:18:2E:75:B4 
-95
 FE:1A:BC:95:57:3C 
-78
 FE:1A:BC:95:57:3C 
-78
 32:67:18:2E:75:B4 
-94
 7C:63:DA:E4:21:30 
-96
 3D:AB:63:86:09:1D 
-68
 C1:1D:BF:98:5A:3F 
-71
 AC:23:3F:24:B3:18 
-50
 AC:23:3F:24:B3:18 
-66
 32:67:18:2E:75:B4 
-93
 AC:23:3F:24:C8:AD 
-65
 AC:23:3F:24:C8:AD 
-66
 7A:96:2B:C6:CC:14 
-58
 7A:96:2B:C6:CC:14 
-60
 C8:50:FD:6A:14:EA 
-76
 32:67:18:2E:75:B4 
-97
 35:AA:05:24:FA:21 
-93
 AC:23:3F:24:B3:18 
-66
 C1:1D:BF:98:5A:3F 
-57
 7C:63:DA:E4:21:30 
-100
 C2:DE:96:57:2A:E2 
-64
 32:67:18:2E:75:B4 
-92
 19:DB:25:8D:E8:61 
-69
 FF:DB:93:54:27:DF 
-84
 FF:DB:93:54:27:DF 
-84
 7A:96:2B:C6:CC:14 
-61
 7A:96:2B:C6:CC:14 
-61
 32:67:18:2E:75:B4 
-96
 35:AA:05:24:FA:21 
-94
 EC:81:BC:0D:F1:DA 
-74
 AC:23:3F:24:C8:AD 
-66
 C2:DE:96:57:2A:E2 
-71
 32:67:18:2E:75:B4 
-94
 C8:50:FD:6A:14:EA 
-73
 7C:63:DA:E4:21:30 
-90
 32:67:18:2E:75:B4 
-97
 7A:96:2B:C6:CC:14 
-61
 7A:96:2B:C6:CC:14 
-61
 3D:AB:63:86:09:1D 
-69
 C1:1D:BF:98:5A:3F 
-55
 C2:DE:96:57:2A:E2 
-74
 EC:A5:DE:FB:86:3E 
-74
 F5:21:9F:4D:65:99 
-95
 F5:21:9F:4D:65:99 
-96
 32:67:18:2E:75:B4 
-92
 C8:50:FD:6A:14:EA 
-74
 AC:23:3F:24:B3:18 
-73
 AC:23:3F:24:C8:AD 
-69
 7C:63:DA:E4:21:30 
-92
 32:67:18:2E:75:B4 
-86
 C1:1D:BF:98:5A:3F 
-71
 C2:DE:96:57:2A:E2 
-72
 C8:50:FD:6A:14:EA 
-67
 AC:23:3F:24:B3:18 
-66
 AC:23:3F:24:B3:18 
-66
 AC:23:3F:24:B3:18 
-68
 C8:2E:E5:77:F2:AB 
-73
 C8:2E:E5:77:F2:AB 
-73
 35:AA:05:24:FA:21 
-91
 32:67:18:2E:75:B4 
-83
 EC:94:19:54:21:2F 
-76
 7C:63:DA:E4:21:30 
-98
 7C:63:DA:E4:21:30 
-98
 C2:DE:96:57:2A:E2 
-71
 35:AA:05:24:FA:21 
-94
 32:67:18:2E:75:B4 
-86
 FE:1A:BC:95:57:3C 
-77
 FE:1A:BC:95:57:3C 
-77
 7A:96:2B:C6:CC:14 
-45
 35:AA:05:24:FA:21 
-98
 32:67:18:2E:75:B4 
-96
 F5:21:9F:4D:65:99 
-93
 F5:21:9F:4D:65:99 
-94
 C2:DE:96:57:2A:E2 
-71
 3D:AB:63:86:09:1D 
-66
 C1:1D:BF:98:5A:3F 
-74
 32:67:18:2E:75:B4 
-80
 C8:50:FD:6A:14:EA 
-73
 AC:23:3F:24:B3:18 
-66
 7A:96:2B:C6:CC:14 
-45
 EC:81:BC:0D:F1:DA 
-71
 C1:1D:BF:98:5A:3F 
-71
 35:AA:05:24:FA:21 
-90
 32:67:18:2E:75:B4 
-91
 C8:50:FD:6A:14:EA 
-73
 7C:63:DA:E4:21:30 
-84
 19:DB:25:8D:E8:61 
-60
 FF:DB:93:54:27:DF 
-80
 FF:DB:93:54:27:DF 
-80
 35:AA:05:24:FA:21 
-98
 32:67:18:2E:75:B4 
-97
 EC:A5:DE:FB:86:3E 
-71
 C1:1D:BF:98:5A:3F 
-74
 32:67:18:2E:75:B4 
-94
 C8:50:FD:6A:14:EA 
-72
 F5:21:9F:4D:65:99 
-82
 C2:1E:C0:99:5B:40 
-74
 32:67:18:2E:75:B4 
-96
 AC:23:3F:24:C8:AD 
-55
 C8:2E:E5:77:F2:AB 
-63
 C2:DE:96:57:2A:E2 
-77
 C1:1D:BF:98:5A:3F 
-68
 3D:AB:63:86:09:1D 
-76
 32:67:18:2E:75:B4 
-84
 7A:96:2B:C6:CC:14 
-60
 7A:96:2B:C6:CC:14 
-60
 C8:50:FD:6A:14:EA 
-74
 C9:51:FE:6B:15:EB 
-74
 C2:DE:96:57:2A:E2 
-73
 C1:1D:BF:98:5A:3F 
-69
 7C:63:DA:E4:21:30 
-96
 7C:63:DA:E4:21:30 
-98
 32:67:18:2E:75:B4 
-95
 35:AA:05:24:FA:21 
-81
 AC:23:3F:24:B3:18 
-63
 7A:96:2B:C6:CC:14 
-61
 7A:96:2B:C6:CC:14 
-61
 19:DB:25:8D:E8:61 
-67
