 EC:A5:DE:FB:86:3E 
-69
 C8:2E:E5:77:F2:AB 
-77
 C8:2E:E5:77:F2:AB 
-77
 C1:1D:BF:98:5A:3F 
-76
 C2:DE:96:57:2A:E2 
-56
 1D:AF:EF:D5:41:0E 
-92
 3D:AB:63:86:09:1D 
-78
 60:6D:BE:B8:00:35 
-65
 60:6D:BE:B8:00:35 
-66
 C5:4D:FA:67:11:E7 
-83
 C5:4D:FA:67:11:E7 
-83
 AC:23:3F:24:B3:18 
-36
 AC:23:3F:24:B3:18 
-36
 3B:A5:8E:EC:92:3F 
-70
 6F:DC:E6:CA:45:8A 
-63
 6F:DC:E6:CA:45:8A 
-63
 68:3A:36:84:F9:41 
-97
 68:3A:36:84:F9:41 
-97
 04:8C:B1:E4:96:DF 
-97
 C1:1D:BF:98:5A:3F 
-76
 1D:AF:EF:D5:41:0E 
-78
 C8:50:FD:6A:14:EA 
-77
 EC:81:BC:0D:F1:DA 
-62
 04:8C:B1:E4:96:DF 
-97
 FF:DB:93:54:27:DF 
-83
 FF:DB:93:54:27:DF 
-83
 04:8C:B1:E4:96:DF 
-95
 6F:DC:E6:CA:45:8A 
-70
 6F:DC:E6:CA:45:8A 
-72
 C1:1D:BF:98:5A:3F 
-74
 C2:DE:96:57:2A:E2 
-75
 1D:AF:EF:D5:41:0E 
-80
 C8:50:FD:6A:14:EA 
-68
 AC:23:3F:24:C8:AD 
-32
 AC:23:3F:24:C8:AD 
-31
 04:8C:B1:E4:96:DF 
-98
 AC:23:3F:24:B3:18 
-29
 60:6D:BE:B8:00:35 
-67
 60:6D:BE:B8:00:35 
-89
 C1:1D:BF:98:5A:3F 
-74
 C2:DE:96:57:2A:E2 
-83
 1D:AF:EF:D5:41:0E 
-80
 6F:DC:E6:CA:45:8A 
-72
 6F:DC:E6:CA:45:8A 
-71
 3D:AB:63:86:09:1D 
-59
 3B:A5:8E:EC:92:3F 
-78
 04:8C:B1:E4:96:DF 
-95
 C1:1D:BF:98:5A:3F 
-74
 C2:DE:96:57:2A:E2 
-71
 C8:2E:E5:77:F2:AB 
-76
 C8:2E:E5:77:F2:AB 
-76
 1D:AF:EF:D5:41:0E 
-94
 EC:94:19:54:21:2F 
-74
 AC:23:3F:24:C8:AD 
-31
 C8:50:FD:6A:14:EA 
-75
 C2:1E:C0:99:5B:40 
-75
 EC:A5:DE:FB:86:3E 
-71
 6F:DC:E6:CA:45:8A 
-81
 6F:DC:E6:CA:45:8A 
-81
 4E:06:FB:F2:CE:AC 
-100
 C9:51:FE:6B:15:EB 
-76
 AC:23:3F:24:C8:AD 
-30
 04:8C:B1:E4:96:DF 
-84
 C2:DE:96:57:2A:E2 
-72
 C1:1D:BF:98:5A:3F 
-75
 1D:AF:EF:D5:41:0E 
-91
 C8:50:FD:6A:14:EA 
-65
 04:8C:B1:E4:96:DF 
-91
 60:6D:BE:B8:00:35 
-72
 60:6D:BE:B8:00:35 
-72
 AC:23:3F:24:AF:81 
-72
 AC:23:3F:24:AF:81 
-72
 C2:DE:96:57:2A:E2 
-76
 C1:1D:BF:98:5A:3F 
-75
 1D:AF:EF:D5:41:0E 
-91
 EC:81:BC:0D:F1:DA 
-87
 C8:50:FD:6A:14:EA 
-62
 4E:06:FB:F2:CE:AC 
-104
 04:8C:B1:E4:96:DF 
-97
 AC:23:3F:24:B3:18 
-37
 60:6D:BE:B8:00:35 
-99
 60:6D:BE:B8:00:35 
-99
 C2:DE:96:57:2A:E2 
-74
 C1:1D:BF:98:5A:3F 
-77
 1D:AF:EF:D5:41:0E 
-90
 68:3A:36:84:F9:41 
-96
 68:3A:36:84:F9:41 
-96
 C8:50:FD:6A:14:EA 
-60
 04:8C:B1:E4:96:DF 
-99
 1D:AF:EF:D5:41:0E 
-86
 FF:DB:93:54:27:DF 
-82
 FF:DB:93:54:27:DF 
-82
 04:8C:B1:E4:96:DF 
-91
 C2:DE:96:57:2A:E2 
-60
 C8:50:FD:6A:14:EA 
-78
 C8:2E:E5:77:F2:AB 
-94
 6F:DC:E6:CA:45:8A 
-68
 6F:DC:E6:CA:45:8A 
-70
 68:3A:36:84:F9:41 
-85
 1D:AF:EF:D5:41:0E 
-97
 C2:DE:96:57:2A:E2 
-74
 EC:94:19:54:21:2F 
-88
 C1:1D:BF:98:5A:3F 
-78
 AC:23:3F:24:B3:18 
-36
 AC:23:3F:24:B3:18 
-37
 1D:AF:EF:D5:41:0E 
-80
 C8:50:FD:6A:14:EA 
-87
 EC:A5:DE:FB:86:3E 
-73
 68:3A:36:84:F9:41 
-96
 68:3A:36:84:F9:41 
-95
 C2:DE:96:57:2A:E2 
-76
 C1:1D:BF:98:5A:3F 
-70
 C8:50:FD:6A:14:EA 
-81
 04:8C:B1:E4:96:DF 
-99
 AC:23:3F:24:C8:AD 
-38
 1D:AF:EF:D5:41:0E 
-98
 FE:1A:BC:95:57:3C 
-76
 C1:1D:BF:98:5A:3F 
-87
 04:8C:B1:E4:96:DF 
-94
 EC:81:BC:0D:F1:DA 
-62
 6F:DC:E6:CA:45:8A 
-63
 6F:DC:E6:CA:45:8A 
-65
 68:3A:36:84:F9:41 
-96
 68:3A:36:84:F9:41 
-97
 C8:50:FD:6A:14:EA 
-80
 AC:23:3F:24:C8:AD 
-30
 AC:23:3F:24:C8:AD 
-29
 04:8C:B1:E4:96:DF 
-96
 1D:AF:EF:D5:41:0E 
-87
 C1:1D:BF:98:5A:3F 
-82
 C2:DE:96:57:2A:E2 
-72
 C8:50:FD:6A:14:EA 
-68
 6F:DC:E6:CA:45:8A 
-60
 6F:DC:E6:CA:45:8A 
-62
 68:3A:36:84:F9:41 
-85
 1D:AF:EF:D5:41:0E 
-83
 3D:AB:63:86:09:1D 
-69
 C8:2E:E5:77:F2:AB 
-63
 C1:1D:BF:98:5A:3F 
-92
 3B:A5:8E:EC:92:3F 
-59
 04:8C:B1:E4:96:DF 
-85
 C2:DE:96:57:2A:E2 
-71
 1D:AF:EF:D5:41:0E 
-98
 AC:23:3F:24:B3:18 
-28
 C8:50:FD:6A:14:EA 
-74
 60:6D:BE:B8:00:35 
-65
 60:6D:BE:B8:00:35 
-65
 AC:23:3F:24:B3:18 
-36
 AC:23:3F:24:B3:18 
-36
 6F:DC:E6:CA:45:8A 
-61
 6F:DC:E6:CA:45:8A 
-63
 EC:94:19:54:21:2F 
-60
 C1:1D:BF:98:5A:3F 
-85
 EC:A5:DE:FB:86:3E 
-79
 1D:AF:EF:D5:41:0E 
-85
 C8:50:FD:6A:14:EA 
-76
 AC:23:3F:24:C8:AD 
-32
 04:8C:B1:E4:96:DF 
-95
 60:6D:BE:B8:00:35 
-64
 60:6D:BE:B8:00:35 
-66
 C1:1D:BF:98:5A:3F 
-88
 6F:DC:E6:CA:45:8A 
-66
 6F:DC:E6:CA:45:8A 
-66
 C2:DE:96:57:2A:E2 
-79
 04:8C:B1:E4:96:DF 
-89
 68:3A:36:84:F9:41 
-99
 C8:50:FD:6A:14:EA 
-61
 1D:AF:EF:D5:41:0E 
-103
 04:8C:B1:E4:96:DF 
-93
 3B:A5:8E:EC:92:3F 
-69
 1D:AF:EF:D5:41:0E 
-102
 C8:50:FD:6A:14:EA 
-59
 6F:DC:E6:CA:45:8A 
-62
 6F:DC:E6:CA:45:8A 
-64
 68:3A:36:84:F9:41 
-96
 1D:AF:EF:D5:41:0E 
-94
 C2:1E:C0:99:5B:40 
-83
 FE:1A:BC:95:57:3C 
-93
 FE:1A:BC:95:57:3C 
-92
 C1:1D:BF:98:5A:3F 
-80
 04:8C:B1:E4:96:DF 
-78
 C2:DE:96:57:2A:E2 
-71
 C8:2E:E5:77:F2:AB 
-78
 C8:2E:E5:77:F2:AB 
-78
 AC:23:3F:24:C8:AD 
-30
 C8:50:FD:6A:14:EA 
-73
 60:6D:BE:B8:00:35 
-74
 68:3A:36:84:F9:41 
-95
 68:3A:36:84:F9:41 
-96
 1D:AF:EF:D5:41:0E 
-97
 AC:23:3F:24:B3:18 
-37
 AC:23:3F:24:B3:18 
-37
 C1:1D:BF:98:5A:3F 
-73
 04:8C:B1:E4:96:DF 
-93
 C8:50:FD:6A:14:EA 
-72
 60:6D:BE:B8:00:35 
-59
 60:6D:BE:B8:00:35 
-58
 EC:94:19:54:21:2F 
-72
 EC:A5:DE:FB:86:3E 
-72
 C1:1D:BF:98:5A:3F 
-75
 04:8C:B1:E4:96:DF 
-92
 C2:DE:96:57:2A:E2 
-72
 3B:A5:8E:EC:92:3F 
-69
 C8:50:FD:6A:14:EA 
-73
 04:8C:B1:E4:96:DF 
-92
 60:6D:BE:B8:00:35 
-62
 60:6D:BE:B8:00:35 
-62
 C1:1D:BF:98:5A:3F 
-82
 04:8C:B1:E4:96:DF 
-92
 AC:23:3F:24:C8:AD 
-31
 AC:23:3F:24:C8:AD 
-32
 1D:AF:EF:D5:41:0E 
-95
 68:3A:36:84:F9:41 
-88
 C8:50:FD:6A:14:EA 
-78
 04:8C:B1:E4:96:DF 
-90
 EC:81:BC:0D:F1:DA 
-79
 C1:1D:BF:98:5A:3F 
-78
 60:6D:BE:B8:00:35 
-88
 60:6D:BE:B8:00:35 
-87
 1D:AF:EF:D5:41:0E 
-86
 C8:50:FD:6A:14:EA 
-74
 C8:2E:E5:77:F2:AB 
-77
 C8:2E:E5:77:F2:AB 
-77
 6F:DC:E6:CA:45:8A 
-67
 6F:DC:E6:CA:45:8A 
-68
 04:8C:B1:E4:96:DF 
-95
 68:3A:36:84:F9:41 
-98
 68:3A:36:84:F9:41 
-98
