 AC:23:3F:24:C8:AD 
-63
 AC:23:3F:24:C8:AD 
-62
 19:E5:E7:41:E6:D0 
-86
 C2:DE:96:57:2A:E2 
-76
 C8:50:FD:6A:14:EA 
-80
 C1:1D:BF:98:5A:3F 
-79
 6F:DC:E6:CA:45:8A 
-67
 6F:DC:E6:CA:45:8A 
-67
 3D:AB:63:86:09:1D 
-70
 3C:EF:81:76:FF:51 
-87
 EC:A5:DE:FB:86:3E 
-60
 FF:DB:93:54:27:DF 
-84
 FF:DB:93:54:27:DF 
-84
 C8:50:FD:6A:14:EA 
-74
 C2:DE:96:57:2A:E2 
-61
 C1:1D:BF:98:5A:3F 
-70
 3C:EF:81:76:FF:51 
-93
 19:E5:E7:41:E6:D0 
-96
 3C:EF:81:76:FF:51 
-92
 6F:DC:E6:CA:45:8A 
-52
 AC:23:3F:24:AF:81 
-63
 C8:50:FD:6A:14:EA 
-74
 C1:1D:BF:98:5A:3F 
-71
 3C:EF:81:76:FF:51 
-93
 F5:21:9F:4D:65:99 
-91
 3C:EF:81:76:FF:51 
-92
 AC:23:3F:24:B3:18 
-58
 6F:DC:E6:CA:45:8A 
-73
 6F:DC:E6:CA:45:8A 
-74
 C2:DE:96:57:2A:E2 
-75
 C1:1D:BF:98:5A:3F 
-69
 3C:EF:81:76:FF:51 
-77
 19:E5:E7:41:E6:D0 
-87
 C8:2E:E5:77:F2:AB 
-81
 C8:2E:E5:77:F2:AB 
-81
 AC:23:3F:24:B3:18 
-60
 AC:23:3F:24:B3:18 
-60
 7C:63:DA:E4:21:30 
-101
 3D:AB:63:86:09:1D 
-68
 3C:EF:81:76:FF:51 
-85
 19:E5:E7:41:E6:D0 
-98
 EC:94:19:54:21:2F 
-75
 FE:1A:BC:95:57:3C 
-74
 FE:1A:BC:95:57:3C 
-76
 AC:23:3F:24:C8:AD 
-47
 AC:23:3F:24:C8:AD 
-63
 AC:23:3F:24:C8:AD 
-63
 C1:1D:BF:98:5A:3F 
-55
 6F:DC:E6:CA:45:8A 
-62
 EC:81:BC:0D:F1:DA 
-69
 3C:EF:81:76:FF:51 
-86
 19:E5:E7:41:E6:D0 
-97
 0D:ED:6B:66:8F:15 
-55
 C8:50:FD:6A:14:EA 
-73
 F5:21:9F:4D:65:99 
-90
 F5:21:9F:4D:65:99 
-91
 C2:DE:96:57:2A:E2 
-59
 C1:1D:BF:98:5A:3F 
-72
 EC:A5:DE:FB:86:3E 
-74
 AC:23:3F:24:B3:18 
-52
 6F:DC:E6:CA:45:8A 
-68
 6F:DC:E6:CA:45:8A 
-68
 3C:EF:81:76:FF:51 
-93
 19:E5:E7:41:E6:D0 
-99
 C2:DE:96:57:2A:E2 
-77
 C1:1D:BF:98:5A:3F 
-70
 3C:EF:81:76:FF:51 
-94
 C2:1E:C0:99:5B:40 
-74
 3C:EF:81:76:FF:51 
-92
 3D:AB:63:86:09:1D 
-71
 C8:50:FD:6A:14:EA 
-58
 FF:DB:93:54:27:DF 
-82
 FF:DB:93:54:27:DF 
-81
 C9:51:FE:6B:15:EB 
-71
 C2:DE:96:57:2A:E2 
-75
 C1:1D:BF:98:5A:3F 
-71
 3C:EF:81:76:FF:51 
-95
 C8:2E:E5:77:F2:AB 
-75
 C8:2E:E5:77:F2:AB 
-75
 19:E5:E7:41:E6:D0 
-98
 C8:50:FD:6A:14:EA 
-72
 0D:ED:6B:66:8F:15 
-75
 C2:DE:96:57:2A:E2 
-76
 3C:EF:81:76:FF:51 
-77
 C1:1D:BF:98:5A:3F 
-74
 6F:DC:E6:CA:45:8A 
-67
 6F:DC:E6:CA:45:8A 
-67
 AC:23:3F:24:C8:AD 
-58
 AC:23:3F:24:C8:AD 
-58
 AC:23:3F:24:B3:18 
-56
 EC:94:19:54:21:2F 
-58
 3C:EF:81:76:FF:51 
-77
 19:E5:E7:41:E6:D0 
-96
 C8:50:FD:6A:14:EA 
-73
 C2:DE:96:57:2A:E2 
-73
 C1:1D:BF:98:5A:3F 
-72
 EC:81:BC:0D:F1:DA 
-70
 AC:23:3F:24:B3:18 
-58
 3C:EF:81:76:FF:51 
-76
 C8:50:FD:6A:14:EA 
-59
 3D:AB:63:86:09:1D 
-68
 7C:63:DA:E4:21:30 
-101
 7C:63:DA:E4:21:30 
-100
