 AC:23:3F:24:B3:18 
-77
 AC:23:3F:24:B3:18 
-78
 C8:50:FD:6A:14:EA 
-73
 EC:94:19:54:21:2F 
-57
 C2:DE:96:57:2A:E2 
-72
 C1:1D:BF:98:5A:3F 
-72
 59:BB:3B:D1:32:EC 
-61
 59:BB:3B:D1:32:EC 
-61
 C8:50:FD:6A:14:EA 
-71
 51:0A:50:56:9C:9B 
-59
 C2:1E:C0:99:5B:40 
-67
 C1:1D:BF:98:5A:3F 
-70
 67:84:DD:3E:D3:1B 
-61
 67:84:DD:3E:D3:1B 
-62
 C9:51:FE:6B:15:EB 
-67
 F5:21:9F:4D:65:99 
-79
 FF:DB:93:54:27:DF 
-85
 FF:DB:93:54:27:DF 
-85
 C8:50:FD:6A:14:EA 
-73
 59:BB:3B:D1:32:EC 
-50
 AC:23:3F:24:B3:18 
-59
 C2:DE:96:57:2A:E2 
-67
 51:0A:50:56:9C:9B 
-72
 51:0A:50:56:9C:9B 
-72
 C1:1D:BF:98:5A:3F 
-59
 67:84:DD:3E:D3:1B 
-62
 67:84:DD:3E:D3:1B 
-62
 C8:50:FD:6A:14:EA 
-69
 C5:4D:FA:67:11:E7 
-89
 C5:4D:FA:67:11:E7 
-91
 C2:DE:96:57:2A:E2 
-72
 59:BB:3B:D1:32:EC 
-46
 AC:23:3F:24:C8:AD 
-72
 AC:23:3F:24:C8:AD 
-61
 EC:A5:DE:FB:86:3E 
-72
 51:0A:50:56:9C:9B 
-64
 51:0A:50:56:9C:9B 
-64
 C8:50:FD:6A:14:EA 
-70
 67:84:DD:3E:D3:1B 
-66
 67:84:DD:3E:D3:1B 
-65
 AC:23:3F:24:B3:18 
-71
 AC:23:3F:24:B3:18 
-68
 AC:23:3F:24:C8:AD 
-62
 C2:DE:96:57:2A:E2 
-62
 C1:1D:BF:98:5A:3F 
-70
 FE:1A:BC:95:57:3C 
-75
 59:BB:3B:D1:32:EC 
-57
 59:BB:3B:D1:32:EC 
-57
 AC:23:3F:24:C8:AD 
-61
 EC:94:19:54:21:2F 
-80
 C8:50:FD:6A:14:EA 
-58
 51:0A:50:56:9C:9B 
-66
 C2:DE:96:57:2A:E2 
-71
 C1:1D:BF:98:5A:3F 
-72
 AC:23:3F:24:B3:18 
-71
 C2:DE:96:57:2A:E2 
-73
 51:0A:50:56:9C:9B 
-75
 51:0A:50:56:9C:9B 
-75
 C8:2E:E5:77:F2:AB 
-72
 C8:2E:E5:77:F2:AB 
-72
 67:84:DD:3E:D3:1B 
-56
 C8:50:FD:6A:14:EA 
-77
 C2:DE:96:57:2A:E2 
-78
 59:BB:3B:D1:32:EC 
-41
 AC:23:3F:24:C8:AD 
-61
 AC:23:3F:24:C8:AD 
-66
 C8:50:FD:6A:14:EA 
-62
 67:84:DD:3E:D3:1B 
-55
 FF:DB:93:54:27:DF 
-80
 FF:DB:93:54:27:DF 
-80
 C2:DE:96:57:2A:E2 
-63
 C1:1D:BF:98:5A:3F 
-73
 59:BB:3B:D1:32:EC 
-57
