 FF:DB:93:54:27:DF 
-69
 32:67:18:2E:75:B4 
-89
 C1:1D:BF:98:5A:3F 
-79
 3D:AB:63:86:09:1D 
-68
 AC:23:3F:24:C8:AD 
-65
 AC:23:3F:24:C8:AD 
-65
 35:AA:05:24:FA:21 
-93
 C8:50:FD:6A:14:EA 
-83
 F5:21:9F:4D:65:99 
-90
 F5:21:9F:4D:65:99 
-91
 7C:63:DA:E4:21:30 
-91
 7C:63:DA:E4:21:30 
-92
 AC:23:3F:24:C8:AD 
-49
 35:AA:05:24:FA:21 
-80
 C1:1D:BF:98:5A:3F 
-81
 32:67:18:2E:75:B4 
-88
 C2:DE:96:57:2A:E2 
-60
 EC:A5:DE:FB:86:3E 
-75
 35:AA:05:24:FA:21 
-100
 AC:23:3F:24:AF:81 
-59
 32:67:18:2E:75:B4 
-89
 C8:50:FD:6A:14:EA 
-80
 35:AA:05:24:FA:21 
-89
 C1:1D:BF:98:5A:3F 
-70
 7C:63:DA:E4:21:30 
-77
 C2:DE:96:57:2A:E2 
-76
 32:67:18:2E:75:B4 
-89
 7A:96:2B:C6:CC:14 
-63
 7A:96:2B:C6:CC:14 
-63
 35:AA:05:24:FA:21 
-92
 32:67:18:2E:75:B4 
-76
 AC:23:3F:24:B3:18 
-66
 AC:23:3F:24:B3:18 
-67
 C8:50:FD:6A:14:EA 
-60
 EC:94:19:54:21:2F 
-71
 35:AA:05:24:FA:21 
-90
 C8:2E:E5:77:F2:AB 
-58
 FE:1A:BC:95:57:3C 
-91
 FE:1A:BC:95:57:3C 
-91
 C1:1D:BF:98:5A:3F 
-70
 32:67:18:2E:75:B4 
-74
 3D:AB:63:86:09:1D 
-65
 35:AA:05:24:FA:21 
-79
 F5:21:9F:4D:65:99 
-96
 F5:21:9F:4D:65:99 
-95
 7A:96:2B:C6:CC:14 
-62
 7A:96:2B:C6:CC:14 
-63
 C8:50:FD:6A:14:EA 
-72
 C2:DE:96:57:2A:E2 
-68
 34:B4:B1:BD:AE:6C 
-69
 35:AA:05:24:FA:21 
-88
 32:67:18:2E:75:B4 
-93
 EC:81:BC:0D:F1:DA 
-85
 AC:23:3F:24:C8:AD 
-63
 AC:23:3F:24:C8:AD 
-65
 7C:63:DA:E4:21:30 
-93
 7C:63:DA:E4:21:30 
-93
 C8:50:FD:6A:14:EA 
-69
 7A:96:2B:C6:CC:14 
-61
 7A:96:2B:C6:CC:14 
-63
 35:AA:05:24:FA:21 
-101
 32:67:18:2E:75:B4 
-91
 C5:4D:FA:67:11:E7 
-84
 C5:4D:FA:67:11:E7 
-83
 35:AA:05:24:FA:21 
-87
 AC:23:3F:24:B3:18 
-69
 32:67:18:2E:75:B4 
-89
 C8:50:FD:6A:14:EA 
-53
 35:AA:05:24:FA:21 
-98
 7C:63:DA:E4:21:30 
-92
 7C:63:DA:E4:21:30 
-91
 C1:1D:BF:98:5A:3F 
-72
 32:67:18:2E:75:B4 
-76
 7A:96:2B:C6:CC:14 
-62
 7A:96:2B:C6:CC:14 
-61
 FF:DB:93:54:27:DF 
-81
 FF:DB:93:54:27:DF 
-81
 EC:A5:DE:FB:86:3E 
-57
 35:AA:05:24:FA:21 
-86
 32:67:18:2E:75:B4 
-90
 C8:50:FD:6A:14:EA 
-84
 4A:FE:12:57:4B:09 
-94
 AC:23:3F:24:B3:18 
-67
 32:67:18:2E:75:B4 
-90
 C8:2E:E5:77:F2:AB 
-72
 C8:2E:E5:77:F2:AB 
-72
 35:AA:05:24:FA:21 
-89
 7A:96:2B:C6:CC:14 
-65
 7A:96:2B:C6:CC:14 
-66
 EC:94:19:54:21:2F 
-74
 35:AA:05:24:FA:21 
-100
 C2:DE:96:57:2A:E2 
-57
 C1:1D:BF:98:5A:3F 
-60
 4A:FE:12:57:4B:09 
-92
 4A:FE:12:57:4B:09 
-92
 35:AA:05:24:FA:21 
-91
 7C:63:DA:E4:21:30 
-91
 7C:63:DA:E4:21:30 
-91
 C8:50:FD:6A:14:EA 
-76
 7A:96:2B:C6:CC:14 
-46
 AC:23:3F:24:B3:18 
-69
 C2:1E:C0:99:5B:40 
-85
 35:AA:05:24:FA:21 
-99
 AC:23:3F:24:C8:AD 
-65
 AC:23:3F:24:C8:AD 
-67
 C1:1D:BF:98:5A:3F 
-81
 32:67:18:2E:75:B4 
-96
 35:AA:05:24:FA:21 
-89
 3D:AB:63:86:09:1D 
-54
 C8:50:FD:6A:14:EA 
-72
 4A:FE:12:57:4B:09 
-89
 4A:FE:12:57:4B:09 
-89
 C9:51:FE:6B:15:EB 
-72
 7C:63:DA:E4:21:30 
-92
 7C:63:DA:E4:21:30 
-93
 35:AA:05:24:FA:21 
-98
 C2:DE:96:57:2A:E2 
-75
 7A:96:2B:C6:CC:14 
-56
 C1:1D:BF:98:5A:3F 
-72
 32:67:18:2E:75:B4 
-95
 35:AA:05:24:FA:21 
-88
 1E:2A:9F:D6:CC:12 
-66
 C8:50:FD:6A:14:EA 
-67
 32:67:18:2E:75:B4 
-75
 35:AA:05:24:FA:21 
-99
 C2:DE:96:57:2A:E2 
-74
 EC:A5:DE:FB:86:3E 
-78
 C1:1D:BF:98:5A:3F 
-83
 32:67:18:2E:75:B4 
-90
 AC:23:3F:24:AF:81 
-72
 AC:23:3F:24:AF:81 
-73
 7C:63:DA:E4:21:30 
-90
 7C:63:DA:E4:21:30 
-91
 AC:23:3F:24:B3:18 
-70
 AC:23:3F:24:B3:18 
-70
 7A:96:2B:C6:CC:14 
-66
 7A:96:2B:C6:CC:14 
-66
 C8:50:FD:6A:14:EA 
-81
 32:67:18:2E:75:B4 
-76
 C8:2E:E5:77:F2:AB 
-75
 C8:2E:E5:77:F2:AB 
-75
 35:AA:05:24:FA:21 
-97
 4A:FE:12:57:4B:09 
-99
 FF:DB:93:54:27:DF 
-82
 FF:DB:93:54:27:DF 
-82
 EC:94:19:54:21:2F 
-62
 7C:63:DA:E4:21:30 
-91
 7C:63:DA:E4:21:30 
-90
 3D:AB:63:86:09:1D 
-51
 C8:50:FD:6A:14:EA 
-61
 32:67:18:2E:75:B4 
-90
 7A:96:2B:C6:CC:14 
-62
 7A:96:2B:C6:CC:14 
-62
 C2:DE:96:57:2A:E2 
-72
 32:67:18:2E:75:B4 
-97
 AC:23:3F:24:C8:AD 
-64
 AC:23:3F:24:C8:AD 
-64
 35:AA:05:24:FA:21 
-91
 4A:FE:12:57:4B:09 
-102
 32:67:18:2E:75:B4 
-89
 AC:23:3F:24:C8:AD 
-63
 7C:63:DA:E4:21:30 
-80
 35:AA:05:24:FA:21 
-98
 C2:DE:96:57:2A:E2 
-77
 7A:96:2B:C6:CC:14 
-69
 7A:96:2B:C6:CC:14 
-69
 F5:21:9F:4D:65:99 
-83
 32:67:18:2E:75:B4 
-95
 C1:1D:BF:98:5A:3F 
-60
 EC:81:BC:0D:F1:DA 
-89
 35:AA:05:24:FA:21 
-89
 C8:50:FD:6A:14:EA 
-76
 32:67:18:2E:75:B4 
-81
 4A:FE:12:57:4B:09 
-76
 35:AA:05:24:FA:21 
-99
 C2:DE:96:57:2A:E2 
-56
 C1:1D:BF:98:5A:3F 
-72
 AC:23:3F:24:B3:18 
-66
 7A:96:2B:C6:CC:14 
-68
 7A:96:2B:C6:CC:14 
-68
 35:AA:05:24:FA:21 
-88
 C8:50:FD:6A:14:EA 
-57
 32:67:18:2E:75:B4 
-89
 AC:23:3F:24:B3:18 
-67
 AC:23:3F:24:B3:18 
-69
 3D:AB:63:86:09:1D 
-74
 EC:A5:DE:FB:86:3E 
-72
