 76:EF:A5:93:A8:31 
-56
 76:EF:A5:93:A8:31 
-56
 C8:50:FD:6A:14:EA 
-54
 3E:EF:A1:39:4A:27 
-76
 AC:23:3F:24:AF:81 
-70
 AC:23:3F:24:AF:81 
-70
 EC:A5:DE:FB:86:3E 
-79
 3E:EF:A1:39:4A:27 
-94
 AC:23:3F:24:C8:AD 
-55
 AC:23:3F:24:B3:18 
-73
 C2:DE:96:57:2A:E2 
-75
 C8:50:FD:6A:14:EA 
-72
 3E:EF:A1:39:4A:27 
-76
 76:EF:A5:93:A8:31 
-57
 76:EF:A5:93:A8:31 
-57
 C1:1D:BF:98:5A:3F 
-70
 3E:EF:A1:39:4A:27 
-82
 C8:2E:E5:77:F2:AB 
-76
 C8:2E:E5:77:F2:AB 
-76
 C2:DE:96:57:2A:E2 
-74
 EC:81:BC:0D:F1:DA 
-72
 3E:EF:A1:39:4A:27 
-77
 AC:23:3F:24:B3:18 
-72
 FF:DB:93:54:27:DF 
-81
 FF:DB:93:54:27:DF 
-81
 76:EF:A5:93:A8:31 
-61
 76:EF:A5:93:A8:31 
-63
 3E:EF:A1:39:4A:27 
-74
 C2:DE:96:57:2A:E2 
-79
 C8:50:FD:6A:14:EA 
-68
 EC:94:19:54:21:2F 
-69
 3E:EF:A1:39:4A:27 
-93
 C1:1D:BF:98:5A:3F 
-70
 C5:4D:FA:67:11:E7 
-62
 AC:23:3F:24:B3:18 
-73
 AC:23:3F:24:B3:18 
-82
 76:EF:A5:93:A8:31 
-42
 C8:50:FD:6A:14:EA 
-80
 3E:EF:A1:39:4A:27 
-76
 C1:1D:BF:98:5A:3F 
-70
 FE:1A:BC:95:57:3C 
-64
 3E:EF:A1:39:4A:27 
-85
 C2:DE:96:57:2A:E2 
-76
 C8:50:FD:6A:14:EA 
-79
 3E:EF:A1:39:4A:27 
-77
 EC:A5:DE:FB:86:3E 
-76
 76:EF:A5:93:A8:31 
-57
 76:EF:A5:93:A8:31 
-58
 C1:1D:BF:98:5A:3F 
-73
 AC:23:3F:24:C8:AD 
-69
 C2:DE:96:57:2A:E2 
-76
 C8:50:FD:6A:14:EA 
-69
 C8:2E:E5:77:F2:AB 
-75
 C8:2E:E5:77:F2:AB 
-75
 C2:1E:C0:99:5B:40 
-71
 3E:EF:A1:39:4A:27 
-62
 C1:1D:BF:98:5A:3F 
-71
 76:EF:A5:93:A8:31 
-57
 76:EF:A5:93:A8:31 
-59
 3E:EF:A1:39:4A:27 
-85
 AC:23:3F:24:C8:AD 
-68
 AC:23:3F:24:C8:AD 
-68
 AC:23:3F:24:C8:AD 
-77
 EC:81:BC:0D:F1:DA 
-66
 C2:DE:96:57:2A:E2 
-80
 C8:50:FD:6A:14:EA 
-71
 C9:51:FE:6B:15:EB 
-68
 3E:EF:A1:39:4A:27 
-76
 C1:1D:BF:98:5A:3F 
-67
 AC:23:3F:24:B3:18 
-73
 AC:23:3F:24:B3:18 
-73
 F5:21:9F:4D:65:99 
-88
 F5:21:9F:4D:65:99 
-88
 AC:23:3F:24:C8:AD 
-56
 3E:EF:A1:39:4A:27 
-84
 76:EF:A5:93:A8:31 
-57
 76:EF:A5:93:A8:31 
-59
 EC:94:19:54:21:2F 
-84
 C2:DE:96:57:2A:E2 
-67
 C8:50:FD:6A:14:EA 
-69
 3E:EF:A1:39:4A:27 
-76
 C1:1D:BF:98:5A:3F 
-67
 FF:DB:93:54:27:DF 
-83
 FF:DB:93:54:27:DF 
-82
 3E:EF:A1:39:4A:27 
-79
 C2:DE:96:57:2A:E2 
-77
 C8:50:FD:6A:14:EA 
-69
 76:EF:A5:93:A8:31 
-58
 76:EF:A5:93:A8:31 
-59
 C1:1D:BF:98:5A:3F 
-66
 C5:4D:FA:67:11:E7 
-91
 C5:4D:FA:67:11:E7 
-91
 3E:EF:A1:39:4A:27 
-94
 AC:23:3F:24:AF:81 
-67
 C8:50:FD:6A:14:EA 
-71
 EC:A5:DE:FB:86:3E 
-65
 F5:21:9F:4D:65:99 
-88
 F5:21:9F:4D:65:99 
-87
 3E:EF:A1:39:4A:27 
-76
 C1:1D:BF:98:5A:3F 
-67
 AC:23:3F:24:C8:AD 
-54
 C8:2E:E5:77:F2:AB 
-71
 C8:2E:E5:77:F2:AB 
-71
 76:EF:A5:93:A8:31 
-57
 76:EF:A5:93:A8:31 
-59
 AC:23:3F:24:B3:18 
-72
 FE:1A:BC:95:57:3C 
-80
 FE:1A:BC:95:57:3C 
-81
 C2:DE:96:57:2A:E2 
-58
 C8:50:FD:6A:14:EA 
-71
 3E:EF:A1:39:4A:27 
-85
 C1:1D:BF:98:5A:3F 
-67
 EC:81:BC:0D:F1:DA 
-72
 AC:23:3F:24:B3:18 
-73
 AC:23:3F:24:B3:18 
-73
 AC:23:3F:24:B3:18 
-72
 C2:DE:96:57:2A:E2 
-80
 C8:50:FD:6A:14:EA 
-56
 3E:EF:A1:39:4A:27 
-76
 C1:1D:BF:98:5A:3F 
-51
 3E:EF:A1:39:4A:27 
-93
 F5:21:9F:4D:65:99 
-89
 F5:21:9F:4D:65:99 
-89
 C2:DE:96:57:2A:E2 
-80
 C8:50:FD:6A:14:EA 
-79
 3E:EF:A1:39:4A:27 
-74
 C1:1D:BF:98:5A:3F 
-72
 3E:EF:A1:39:4A:27 
-62
 C2:DE:96:57:2A:E2 
-70
 C8:50:FD:6A:14:EA 
-70
 76:EF:A5:93:A8:31 
-59
 76:EF:A5:93:A8:31 
-61
 C1:1D:BF:98:5A:3F 
-71
 59:BB:3B:D1:32:EC 
-93
 59:BB:3B:D1:32:EC 
-93
 C8:2E:E5:77:F2:AB 
-68
 C8:2E:E5:77:F2:AB 
-70
 FF:DB:93:54:27:DF 
-81
 FF:DB:93:54:27:DF 
-81
 3E:EF:A1:39:4A:27 
-76
 C2:DE:96:57:2A:E2 
-73
 EC:A5:DE:FB:86:3E 
-67
 C8:50:FD:6A:14:EA 
-71
 AC:23:3F:24:C8:AD 
-69
 C1:1D:BF:98:5A:3F 
-66
 AC:23:3F:24:C8:AD 
-70
 AC:23:3F:24:C8:AD 
-71
 76:EF:A5:93:A8:31 
-42
 C2:DE:96:57:2A:E2 
-74
 59:BB:3B:D1:32:EC 
-78
 C5:4D:FA:67:11:E7 
-87
 C5:4D:FA:67:11:E7 
-86
 C8:50:FD:6A:14:EA 
-71
 AC:23:3F:24:B3:18 
-75
 AC:23:3F:24:B3:18 
-74
 C1:1D:BF:98:5A:3F 
-67
 EC:81:BC:0D:F1:DA 
-73
 C2:DE:96:57:2A:E2 
-73
 FE:1A:BC:95:57:3C 
-81
 FE:1A:BC:95:57:3C 
-81
 C8:50:FD:6A:14:EA 
-69
 C1:1D:BF:98:5A:3F 
-69
 3E:EF:A1:39:4A:27 
-94
 EC:94:19:54:21:2F 
-67
 C2:DE:96:57:2A:E2 
-74
 3E:EF:A1:39:4A:27 
-71
 C8:50:FD:6A:14:EA 
-70
 F5:21:9F:4D:65:99 
-85
 F5:21:9F:4D:65:99 
-86
 76:EF:A5:93:A8:31 
-47
 76:EF:A5:93:A8:31 
-63
 C1:1D:BF:98:5A:3F 
-71
 59:BB:3B:D1:32:EC 
-82
 C2:DE:96:57:2A:E2 
-74
 3E:EF:A1:39:4A:27 
-76
 C8:50:FD:6A:14:EA 
-69
 C8:2E:E5:77:F2:AB 
-77
 C8:2E:E5:77:F2:AB 
-77
 C1:1D:BF:98:5A:3F 
-73
 3E:EF:A1:39:4A:27 
-86
 C9:51:FE:6B:15:EB 
-54
 AC:23:3F:24:AF:81 
-64
 AC:23:3F:24:AF:81 
-66
 76:EF:A5:93:A8:31 
-56
 76:EF:A5:93:A8:31 
-56
 EC:A5:DE:FB:86:3E 
-81
 3E:EF:A1:39:4A:27 
-92
 AC:23:3F:24:B3:18 
-72
 3E:EF:A1:39:4A:27 
-77
 C1:1D:BF:98:5A:3F 
-72
 AC:23:3F:24:B3:18 
-72
 AC:23:3F:24:B3:18 
-72
 F5:21:9F:4D:65:99 
-88
 F5:21:9F:4D:65:99 
-88
 C2:DE:96:57:2A:E2 
-80
 76:EF:A5:93:A8:31 
-58
 76:EF:A5:93:A8:31 
-57
 FF:DB:93:54:27:DF 
-82
 FF:DB:93:54:27:DF 
-81
 C8:50:FD:6A:14:EA 
-70
 59:BB:3B:D1:32:EC 
-101
 EC:81:BC:0D:F1:DA 
-70
 AC:23:3F:24:B3:18 
-78
 C2:DE:96:57:2A:E2 
-73
 3E:EF:A1:39:4A:27 
-93
 C8:50:FD:6A:14:EA 
-70
 C5:4D:FA:67:11:E7 
-77
 C5:4D:FA:67:11:E7 
-78
 76:EF:A5:93:A8:31 
-64
 76:EF:A5:93:A8:31 
-64
 C1:1D:BF:98:5A:3F 
-73
 3E:EF:A1:39:4A:27 
-77
 EC:94:19:54:21:2F 
-70
 C2:DE:96:57:2A:E2 
-73
 3E:EF:A1:39:4A:27 
-86
 C8:50:FD:6A:14:EA 
-84
 FE:1A:BC:95:57:3C 
-78
 AC:23:3F:24:B3:18 
-80
 F5:21:9F:4D:65:99 
-88
 F5:21:9F:4D:65:99 
-87
 C8:2E:E5:77:F2:AB 
-74
 C8:2E:E5:77:F2:AB 
-74
 76:EF:A5:93:A8:31 
-50
 C2:DE:96:57:2A:E2 
-73
 C8:50:FD:6A:14:EA 
-64
 AC:23:3F:24:C8:AD 
-68
 AC:23:3F:24:C8:AD 
-68
 3E:EF:A1:39:4A:27 
-82
 C1:1D:BF:98:5A:3F 
-72
 EC:A5:DE:FB:86:3E 
-74
 AC:23:3F:24:B3:18 
-71
 AC:23:3F:24:B3:18 
-71
 C2:DE:96:57:2A:E2 
-73
 76:EF:A5:93:A8:31 
-60
 76:EF:A5:93:A8:31 
-60
 3E:EF:A1:39:4A:27 
-86
 AC:23:3F:24:C8:AD 
-67
 C8:50:FD:6A:14:EA 
-70
 C1:1D:BF:98:5A:3F 
-71
 C2:DE:96:57:2A:E2 
-73
 C8:50:FD:6A:14:EA 
-70
 76:EF:A5:93:A8:31 
-62
 76:EF:A5:93:A8:31 
-64
 EC:81:BC:0D:F1:DA 
-70
 59:BB:3B:D1:32:EC 
-106
 C1:1D:BF:98:5A:3F 
-67
 3E:EF:A1:39:4A:27 
-66
 AC:23:3F:24:C8:AD 
-66
 C2:DE:96:57:2A:E2 
-73
 3E:EF:A1:39:4A:27 
-85
 C8:50:FD:6A:14:EA 
-55
 EC:94:19:54:21:2F 
-69
 C1:1D:BF:98:5A:3F 
-66
 3E:EF:A1:39:4A:27 
-77
 76:EF:A5:93:A8:31 
-60
 76:EF:A5:93:A8:31 
-61
 C8:2E:E5:77:F2:AB 
-69
 C8:2E:E5:77:F2:AB 
-80
 C2:DE:96:57:2A:E2 
-73
 3E:EF:A1:39:4A:27 
-95
 C8:50:FD:6A:14:EA 
-72
 C5:4D:FA:67:11:E7 
-79
 C5:4D:FA:67:11:E7 
-78
 C1:1D:BF:98:5A:3F 
-72
 AC:23:3F:24:C8:AD 
-68
 AC:23:3F:24:C8:AD 
-70
 76:EF:A5:93:A8:31 
-45
 F5:21:9F:4D:65:99 
-77
 C2:DE:96:57:2A:E2 
-74
 C8:50:FD:6A:14:EA 
-59
 AC:23:3F:24:B3:18 
-71
 AC:23:3F:24:B3:18 
-71
 AC:23:3F:24:AF:81 
-61
 FE:1A:BC:95:57:3C 
-78
 FE:1A:BC:95:57:3C 
-78
 C1:1D:BF:98:5A:3F 
-66
 3E:EF:A1:39:4A:27 
-66
 C2:DE:96:57:2A:E2 
-73
 AC:23:3F:24:B3:18 
-73
 3E:EF:A1:39:4A:27 
-92
 C8:50:FD:6A:14:EA 
-71
 76:EF:A5:93:A8:31 
-60
 76:EF:A5:93:A8:31 
-61
 3E:EF:A1:39:4A:27 
-77
 C2:DE:96:57:2A:E2 
-74
 C2:1E:C0:99:5B:40 
-54
 AC:23:3F:24:B3:18 
-72
 76:EF:A5:93:A8:31 
-45
 F5:21:9F:4D:65:99 
-89
 F5:21:9F:4D:65:99 
-89
 C2:DE:96:57:2A:E2 
-73
 3E:EF:A1:39:4A:27 
-77
 C8:50:FD:6A:14:EA 
-69
 EC:94:19:54:21:2F 
-78
 C8:2E:E5:77:F2:AB 
-53
 C1:1D:BF:98:5A:3F 
-65
 C2:DE:96:57:2A:E2 
-73
 3E:EF:A1:39:4A:27 
-77
 C8:50:FD:6A:14:EA 
-66
 AC:23:3F:24:C8:AD 
-70
 AC:23:3F:24:C8:AD 
-69
 FF:DB:93:54:27:DF 
-94
 FF:DB:93:54:27:DF 
-92
 C1:1D:BF:98:5A:3F 
-50
 C2:DE:96:57:2A:E2 
-73
 3E:EF:A1:39:4A:27 
-63
 C8:50:FD:6A:14:EA 
-79
 F5:21:9F:4D:65:99 
-90
 F5:21:9F:4D:65:99 
-90
 EC:A5:DE:FB:86:3E 
-84
 3E:EF:A1:39:4A:27 
-86
 C1:1D:BF:98:5A:3F 
-51
 C5:4D:FA:67:11:E7 
-78
 C2:DE:96:57:2A:E2 
-74
 3E:EF:A1:39:4A:27 
-77
 C8:50:FD:6A:14:EA 
-79
 C1:1D:BF:98:5A:3F 
-68
 3E:EF:A1:39:4A:27 
-94
 59:BB:3B:D1:32:EC 
-79
 FE:1A:BC:95:57:3C 
-76
 FE:1A:BC:95:57:3C 
-77
 EC:81:BC:0D:F1:DA 
-68
 C8:50:FD:6A:14:EA 
-79
 C1:1D:BF:98:5A:3F 
-68
 3E:EF:A1:39:4A:27 
-94
 76:EF:A5:93:A8:31 
-60
 76:EF:A5:93:A8:31 
-60
 C8:2E:E5:77:F2:AB 
-77
 C8:2E:E5:77:F2:AB 
-75
 F5:21:9F:4D:65:99 
-73
 C2:DE:96:57:2A:E2 
-73
 3E:EF:A1:39:4A:27 
-85
 C8:50:FD:6A:14:EA 
-80
 AC:23:3F:24:C8:AD 
-69
 AC:23:3F:24:C8:AD 
-69
 AC:23:3F:24:B3:18 
-71
 AC:23:3F:24:B3:18 
-71
 76:EF:A5:93:A8:31 
-43
 3E:EF:A1:39:4A:27 
-86
 C8:50:FD:6A:14:EA 
-79
 C1:1D:BF:98:5A:3F 
-68
 AC:23:3F:24:AF:81 
-76
 AC:23:3F:24:AF:81 
-76
 C2:DE:96:57:2A:E2 
-74
 3E:EF:A1:39:4A:27 
-77
 C8:50:FD:6A:14:EA 
-57
 EC:A5:DE:FB:86:3E 
-60
 76:EF:A5:93:A8:31 
-60
 F5:21:9F:4D:65:99 
-89
 F5:21:9F:4D:65:99 
-88
 C1:1D:BF:98:5A:3F 
-54
 FF:DB:93:54:27:DF 
-82
 FF:DB:93:54:27:DF 
-92
 AC:23:3F:24:B3:18 
-74
 C2:DE:96:57:2A:E2 
-73
 3E:EF:A1:39:4A:27 
-77
 C8:50:FD:6A:14:EA 
-80
 C1:1D:BF:98:5A:3F 
-70
 3E:EF:A1:39:4A:27 
-93
 76:EF:A5:93:A8:31 
-60
 76:EF:A5:93:A8:31 
-60
 C5:4D:FA:67:11:E7 
-76
 C5:4D:FA:67:11:E7 
-76
 AC:23:3F:24:B3:18 
-72
 EC:81:BC:0D:F1:DA 
-67
 C8:2E:E5:77:F2:AB 
-75
 C8:2E:E5:77:F2:AB 
-75
 3E:EF:A1:39:4A:27 
-71
 C8:50:FD:6A:14:EA 
-70
 C1:1D:BF:98:5A:3F 
-72
 3E:EF:A1:39:4A:27 
-93
 FE:1A:BC:95:57:3C 
-77
 FE:1A:BC:95:57:3C 
-78
 AC:23:3F:24:C8:AD 
-67
 AC:23:3F:24:C8:AD 
-68
 EC:94:19:54:21:2F 
-79
 76:EF:A5:93:A8:31 
-51
 C2:DE:96:57:2A:E2 
-74
 59:BB:3B:D1:32:EC 
-93
 59:BB:3B:D1:32:EC 
-92
 C8:50:FD:6A:14:EA 
-70
 AC:23:3F:24:B3:18 
-71
 AC:23:3F:24:B3:18 
-72
 C1:1D:BF:98:5A:3F 
-72
 AC:23:3F:24:B3:18 
-79
 3E:EF:A1:39:4A:27 
-78
 3E:EF:A1:39:4A:27 
-77
 C8:50:FD:6A:14:EA 
-79
 76:EF:A5:93:A8:31 
-64
 76:EF:A5:93:A8:31 
-66
 59:BB:3B:D1:32:EC 
-91
 59:BB:3B:D1:32:EC 
-92
 C2:1E:C0:99:5B:40 
-68
 C1:1D:BF:98:5A:3F 
-71
 3E:EF:A1:39:4A:27 
-72
 C2:DE:96:57:2A:E2 
-74
 3E:EF:A1:39:4A:27 
-94
 C8:50:FD:6A:14:EA 
-79
 AC:23:3F:24:C8:AD 
-70
 C9:51:FE:6B:15:EB 
-79
 76:EF:A5:93:A8:31 
-51
 3E:EF:A1:39:4A:27 
-77
 C1:1D:BF:98:5A:3F 
-68
 59:BB:3B:D1:32:EC 
-91
 59:BB:3B:D1:32:EC 
-90
 F5:21:9F:4D:65:99 
-87
 F5:21:9F:4D:65:99 
-87
 3E:EF:A1:39:4A:27 
-92
 C2:DE:96:57:2A:E2 
-73
 C8:50:FD:6A:14:EA 
-57
 AC:23:3F:24:C8:AD 
-75
 3E:EF:A1:39:4A:27 
-77
 C1:1D:BF:98:5A:3F 
-54
 EC:81:BC:0D:F1:DA 
-71
 76:EF:A5:93:A8:31 
-66
 76:EF:A5:93:A8:31 
-66
 FF:DB:93:54:27:DF 
-81
 FF:DB:93:54:27:DF 
-82
 59:BB:3B:D1:32:EC 
-92
 59:BB:3B:D1:32:EC 
-92
 3E:EF:A1:39:4A:27 
-86
 C2:DE:96:57:2A:E2 
-74
 C8:50:FD:6A:14:EA 
-71
 AC:23:3F:24:C8:AD 
-68
 AC:23:3F:24:C8:AD 
-70
 AC:23:3F:24:C8:AD 
-66
 AC:23:3F:24:B3:18 
-71
 AC:23:3F:24:B3:18 
-71
 3E:EF:A1:39:4A:27 
-66
 C1:1D:BF:98:5A:3F 
-68
 EC:94:19:54:21:2F 
-70
 C5:4D:FA:67:11:E7 
-77
 C5:4D:FA:67:11:E7 
-77
 3E:EF:A1:39:4A:27 
-79
 76:EF:A5:93:A8:31 
-60
 76:EF:A5:93:A8:31 
-60
 F5:21:9F:4D:65:99 
-77
 3E:EF:A1:39:4A:27 
-76
 C1:1D:BF:98:5A:3F 
-70
 FE:1A:BC:95:57:3C 
-77
 FE:1A:BC:95:57:3C 
-78
 C2:DE:96:57:2A:E2 
-74
 3E:EF:A1:39:4A:27 
-92
 C8:50:FD:6A:14:EA 
-68
 76:EF:A5:93:A8:31 
-58
 76:EF:A5:93:A8:31 
-60
 AC:23:3F:24:AF:81 
-68
 AC:23:3F:24:AF:81 
-70
 3E:EF:A1:39:4A:27 
-66
 C1:1D:BF:98:5A:3F 
-55
 EC:A5:DE:FB:86:3E 
-85
 AC:23:3F:24:C8:AD 
-69
 3E:EF:A1:39:4A:27 
-82
 C8:50:FD:6A:14:EA 
-67
 AC:23:3F:24:B3:18 
-71
 3E:EF:A1:39:4A:27 
-76
 C1:1D:BF:98:5A:3F 
-56
 C8:2E:E5:77:F2:AB 
-82
 C8:2E:E5:77:F2:AB 
-82
 76:EF:A5:93:A8:31 
-44
 59:BB:3B:D1:32:EC 
-91
 59:BB:3B:D1:32:EC 
-92
 F5:21:9F:4D:65:99 
-89
 F5:21:9F:4D:65:99 
-89
 C2:DE:96:57:2A:E2 
-73
 C8:50:FD:6A:14:EA 
-63
 AC:23:3F:24:B3:18 
-71
 AC:23:3F:24:C8:AD 
-52
 3E:EF:A1:39:4A:27 
-63
 C1:1D:BF:98:5A:3F 
-70
 AC:23:3F:24:B3:18 
-71
 AC:23:3F:24:B3:18 
-71
 C8:50:FD:6A:14:EA 
-72
 C2:DE:96:57:2A:E2 
-73
 3E:EF:A1:39:4A:27 
-77
 EC:94:19:54:21:2F 
-71
 C1:1D:BF:98:5A:3F 
-71
 FF:DB:93:54:27:DF 
-83
 FF:DB:93:54:27:DF 
-82
 C8:50:FD:6A:14:EA 
-70
 C2:DE:96:57:2A:E2 
-85
 3E:EF:A1:39:4A:27 
-80
 3E:EF:A1:39:4A:27 
-77
 C1:1D:BF:98:5A:3F 
-68
 F5:21:9F:4D:65:99 
-88
 F5:21:9F:4D:65:99 
-87
 C8:50:FD:6A:14:EA 
-69
 C2:DE:96:57:2A:E2 
-74
 C5:4D:FA:67:11:E7 
-76
 C5:4D:FA:67:11:E7 
-77
 3E:EF:A1:39:4A:27 
-77
 C1:1D:BF:98:5A:3F 
-70
 76:EF:A5:93:A8:31 
-43
 EC:A5:DE:FB:86:3E 
-84
 AC:23:3F:24:C8:AD 
-68
 C8:50:FD:6A:14:EA 
-79
 C8:2E:E5:77:F2:AB 
-81
 C8:2E:E5:77:F2:AB 
-81
 3E:EF:A1:39:4A:27 
-71
 FE:1A:BC:95:57:3C 
-77
 FE:1A:BC:95:57:3C 
-77
 3E:EF:A1:39:4A:27 
-77
